ID_g;ID_File;LWD63;LWD125;LWD250;LWD500;LWD1000;LWD2000;LWD4000;LWD8000;P10;P25;P50;P75;P90;Alpha;T
88;4;33,60761837;48,94452384;53,17539629;61,97684018;63,206164;56,56991312;55,06392411;37,51488866;-45,54807664;-36,72044077;-27,79612146;-20,47336319;-15,82823528;4;9
89;4;28,71156026;48,53408857;56,53874492;57,12530966;57,82182717;53,54102119;51,15851588;31,73546002;-43,86875882;-35,82348131;-28,96014184;-23,64106109;-19,93345732;4,5;10
90;4;29,15358971;40,48905256;55,57077055;51,28815355;64,57727142;55,33460493;46,28150041;37,45729547;-47,83196588;-39,57782985;-31,29196952;-23,21242959;-16,86131446;5;11
91;4;45,62624776;48,08603342;50,01808889;53,42344467;55,2422918;47,69195158;44,39768298;36,06670768;-51,61902967;-43,37217977;-35,85632025;-29,04420914;-24,25372453;5,5;12
92;4;32,39709778;44,53061878;47,67132745;53,07499458;57,51905729;52,77865909;47,67111258;34,80673933;-50,66357404;-42,56120217;-35,61300211;-29,30914156;-23,47239756;6;13
93;4;29,55954626;37,84927076;50,1584021;53,13167493;41,10017754;46,52235133;47,96171206;36,76090443;-57,24474842;-48,79805947;-39,99152182;-31,96939775;-27,14778282;6,5;14
94;4;27,27520448;45,44428898;50,87895262;50,50690616;42,78883738;42,6408967;36,4459163;26,9411167;-57,24474842;-48,94528146;-40,97164629;-33,33290468;-28,73986234;7;15
95;4;28,05877343;39,84882526;50,9698617;59,4386694;47,77932827;52,9808033;46,75558168;32,82597407;-56,68417395;-48,09720449;-37,88547306;-29,03482751;-24,0692621;7,5;16
96;4;32,86608657;48,17342166;55,10149552;57,67934576;50,85586478;58,56108143;49,99387885;42,1078024;-60,7665736;-51,03324215;-39,06314141;-28,43356307;-21,18745035;8;17
97;5;43,78502878;54,41546204;51,40180472;52,93003733;51,27439992;43,95904554;40,79355772;38,30732013;-62,70477386;-54,46116491;-46,962652;-37,47951649;-30,40419506;0;1
98;5;45,3399419;58,87485121;57,8736458;61,6724125;55,57278567;46,71933586;36,34840573;29,23089689;-53,0425415;-44,07392148;-34,74597369;-28,44757257;-24,12875182;0,5;2
99;5;46,95325815;50,7845065;46,40256344;45,89583087;50,36029835;38,69826311;29,19568093;25,70654265;-63,07444198;-54,602402;-46,962652;-38,7821717;-33,34521636;1;3
